index,zipcode,age_years,height_in_inches,bmi,fastfood_consumption,Fresh_FV,MedianFamilyIncome,lapophalfshare,no_college,higher_ed_frac,white_frac,black_frac,hispanic_frac,asian_frac,yelp_category_fastfood_frac,male_frac,soda_consumption
8881,92602,38.34090909,66.76490303,26.59995076,0.352316531,0.593073553,121501.72,0.398700592,0.337102126,0.662897874,0.308869482,0.021793126,0.089656278,0.499198782,0.029166667,0.310606061,0.015035584
8882,92603,40.25842697,66.2661236,26.37949888,0.247697462,0.709085486,139127.12,0.805616635,0.193889125,0.806110875,0.544689696,0.000841334,0.069434821,0.349351678,0.019270475,0.247191011,0.011056405
8883,92604,38.54347826,65.9829029,26.70734348,0.307487717,0.622254514,108610.71,0.324741124,0.400143604,0.599856396,0.484779566,0.015325402,0.129636109,0.311056683,0.049228508,0.289855072,0.01461638
8884,92606,36.7962963,66.16592593,26.58420185,0.357872387,0.612878851,99578.14,0.24548618,0.363636364,0.636363636,0.390937784,0.036923343,0.089887155,0.418089844,0.021798365,0.361111111,0.013117584
8885,92610,39.65,66.86514125,27.34320875,0.303154034,0.604726298,140371.56,0.615176348,0.402688033,0.597311967,0.570239596,0.012694409,0.122908785,0.25456074,0.052593134,0.3125,0.01430375
8886,92612,34.60992908,65.9141305,25.35988014,0.275890218,0.732705891,88486.05,0.311450298,0.344679739,0.655320261,0.486684207,0.022396201,0.099178592,0.361804531,0.024407252,0.276595745,0.015583832
8887,92614,37.58860759,66.54273418,26.15415063,0.301580612,0.607724715,91956.79,0.268817829,0.360051749,0.639948251,0.489240262,0.01156961,0.1089086,0.345468569,0.041696621,0.303797468,0.014240948
8888,92618,37.60638298,66.65995372,26.44204628,0.319084506,0.598995242,108011.5,0.435125387,0.308939569,0.691060431,0.454931319,0.028508405,0.068179539,0.411516995,0.050176678,0.308510638,0.020692938
8889,92620,38.78367347,66.48656735,26.51576449,0.282994482,0.567695899,122024.52,0.425555114,0.315827293,0.684172707,0.335199932,0.02131329,0.066942043,0.53110761,0.048727273,0.297959184,0.016849672
8890,92624,40.51428571,66.34057143,26.30394,0.197089467,0.760808915,91081.85,0.623430321,0.593779453,0.406220547,0.712581345,0.023396343,0.209947319,0.02897428,0.024924471,0.257142857,0.0055574
8891,92625,42.77647059,67.05105882,25.57068588,0.190727742,0.778905862,180341.05,0.49343524,0.351693638,0.648306362,0.80388939,0.006400263,0.099122015,0.059735784,0.015804598,0.352941176,0.008152864
8892,92626,36.83116883,66.26799253,27.04987922,0.268962062,0.619113772,82023.87,0.424325103,0.57078045,0.42921955,0.532356795,0.032092778,0.253358888,0.144466392,0.022174535,0.256493506,0.016026704
