County,Pop
"Posey County, Indiana","25,213"
"Pulaski County, Indiana","12,523"
"Putnam County, Indiana","36,728"
"Randolph County, Indiana","24,502"
"Ripley County, Indiana","28,984"
"Rush County, Indiana","16,755"
"St. Joseph County, Indiana","272,914"
"Scott County, Indiana","24,383"
"Shelby County, Indiana","45,052"
"Spencer County, Indiana","19,814"
"Starke County, Indiana","23,370"
"Steuben County, Indiana","34,448"
"Sullivan County, Indiana","20,820"
"Switzerland County, Indiana","9,753"
"Tippecanoe County, Indiana","186,249"
"Tipton County, Indiana","15,355"
"Union County, Indiana","7,087"
"Vanderburgh County, Indiana","180,136"
"Vermillion County, Indiana","15,447"
"Vigo County, Indiana","106,158"
"Wabash County, Indiana","30,986"
"Warren County, Indiana","8,436"
"Warrick County, Indiana","63,896"
"Washington County, Indiana","28,176"
"Wayne County, Indiana","66,555"
"Wells County, Indiana","28,187"
"White County, Indiana","24,691"
"Whitley County, Indiana","34,190"
"Adair County, Iowa","7,498"
"Adams County, Iowa","3,708"
"Allamakee County, Iowa","14,061"
"Appanoose County, Iowa","12,315"
"Audubon County, Iowa","5,676"
"Benton County, Iowa","25,571"
"Black Hawk County, Iowa","131,147"
"Boone County, Iowa","26,715"
"Bremer County, Iowa","24,988"
"Buchanan County, Iowa","20,565"
"Buena Vista County, Iowa","20,830"
"Butler County, Iowa","14,335"
"Calhoun County, Iowa","9,914"
"Carroll County, Iowa","20,757"
"Cass County, Iowa","13,132"
"Cedar County, Iowa","18,497"
"Cerro Gordo County, Iowa","43,132"
"Cherokee County, Iowa","11,664"
"Chickasaw County, Iowa","12,015"
"Clarke County, Iowa","9,744"
"Clay County, Iowa","16,381"
"Clayton County, Iowa","17,045"
"Clinton County, Iowa","46,470"
"Crawford County, Iowa","16,526"
